member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0401,Jessica,Hart,1981-08-02,Female,368-297-5104x4301,darin77@example.com,4103 Pacheco Junction,Smithmouth,Virginia,92952,USA,2023-02-11,Inactive,C0023
M0402,John,Rodriguez,1983-12-10,Male,4637369986,becky19@example.com,239 Sandoval Lodge Suite 720,Pierceland,Idaho,26954,USA,2025-04-07,Inactive,C0104
M0403,Jeffrey,Guzman,2004-01-07,Male,317.737.5164x06581,lloydkenneth@example.net,426 English Isle,Nguyenland,Ohio,72421,USA,2021-12-29,Active,C0296
M0404,Jerry,Thompson,1958-09-30,Male,+1-495-494-5952,pramirez@example.net,7365 Carla Bypass,Lake Ashley,Massachusetts,26251,USA,2023-06-25,Active,C0709
M0405,Nancy,Simmons,1980-05-21,Female,893.504.0051,joseph79@example.org,2255 John Walks Suite 002,South Lauren,Ohio,73456,USA,2022-12-06,Active,C0122
M0406,Duane,Sims,1980-08-27,Male,318-611-4941x1076,duffyamanda@example.net,629 Angela Rue Suite 937,Port Cory,New Mexico,89233,USA,2024-10-22,Inactive,C0810
M0407,Tammy,Franklin,1971-09-15,Female,549-386-1868x98626,jonesxavier@example.org,43039 Smith Terrace,Blackberg,Pennsylvania,27962,USA,2026-04-19,Active,C0220
M0408,Collin,Byrd,1980-01-26,Male,400.645.4675,twebb@example.net,6632 Franklin Cove Apt. 425,Lisaside,New York,30270,USA,2024-08-28,Inactive,C0059
M0409,Ashley,Jackson,1959-07-27,Female,001-266-686-9675x703,ashley60@example.org,490 Cross Ports,South Thomasbury,Alabama,91417,USA,2024-03-19,Inactive,C0979
M0410,Charles,Greer,1991-12-24,Male,861-858-0812x877,william41@example.com,9494 Scott Lakes Suite 240,Smithmouth,North Dakota,7256,USA,2022-04-15,Active,C0271
M0411,Christopher,Martin,1984-02-24,Male,001-280-789-7453,jacobstrevor@example.org,050 Steve Heights Suite 299,South Lauraville,Georgia,6033,USA,2024-03-16,Inactive,C0426
M0412,Eric,Rodriguez,1979-04-15,Male,(720)460-8719x5586,erikamartin@example.net,11355 Gibson Motorway Suite 139,Friedmanbury,North Dakota,22244,USA,2021-05-07,Active,C0850
M0413,April,Ayers,1973-02-07,Female,+1-514-207-1941x252,maryduncan@example.org,03257 Elizabeth Walks Suite 305,New Judy,Maine,3212,USA,2024-07-01,Active,C0301
M0414,Eric,Sanchez,1991-08-29,Male,001-233-517-3327x751,connoralexander@example.org,520 Gary Grove,Lake Calebburgh,Iowa,42511,USA,2025-05-18,Inactive,C0884
M0415,Kristi,Harris,1984-03-13,Female,293-755-1029,johnmartin@example.org,15748 Boyd Parkways Suite 450,Stephenshire,Colorado,5670,USA,2023-05-09,Active,C0575
M0416,Amber,Odom,2002-11-09,Female,+1-683-999-2255x422,sfreeman@example.com,6227 David Mission,West David,Tennessee,59014,USA,2023-01-10,Inactive,C0854
M0417,Cathy,Jimenez,1977-05-08,Female,6858690524,sgraham@example.net,01949 Alex Drive,West Sarah,New Mexico,90100,USA,2025-08-27,Active,C0747
M0418,Thomas,Smith,1997-01-14,Male,(766)612-5719x4143,osmith@example.net,8209 Nicole Lodge Suite 057,South Donna,Oklahoma,65235,USA,2024-11-26,Active,C0091
M0419,Michelle,Stokes,1963-03-25,Female,001-378-740-1002x7896,gravesolivia@example.net,7102 Freeman Wells Suite 652,Port Richard,Arkansas,57177,USA,2025-07-07,Inactive,C0065
M0420,Jennifer,Massey,1949-05-20,Female,854.235.5733,steven42@example.org,68619 Melissa Road,Sanchezborough,Kansas,18820,USA,2025-03-11,Active,C0068
M0421,Anne,Cook,1977-05-17,Female,375-684-9112,stevensjeffrey@example.net,93833 Horne Lake Apt. 003,Richardborough,Illinois,51355,USA,2025-03-05,Inactive,C0739
M0422,Thomas,Knight,1973-05-09,Male,+1-872-391-9119x3442,rsmith@example.com,007 Ronald Bypass,Evelynton,Wisconsin,38592,USA,2023-09-16,Active,C0010
M0423,Michelle,Gardner,1960-12-19,Female,841-689-4524x2208,jesse66@example.org,52481 David Manor,Adrianshire,Nevada,6393,USA,2025-12-29,Inactive,C0345
M0424,Timothy,Hampton,1958-04-23,Male,819.951.7702x8676,tamibates@example.com,8727 Donald Gardens,New Alyssachester,Hawaii,58829,USA,2025-06-08,Inactive,C0653
