provider_id,provider_name,Gender,Birth_date,address,city,state,zip_code,country,telephone_number,speciality_id,emergency_services,overall_rating,rating_footnote
PR0001,Carlos F. Navarro,Male,1963-08-09,894 Oak St,Houston,TX,77001,Harris,+1 (531) 849-1027,"ENDO,ENT",true,4,Limited data
PR0002,Indiana University Health,NA,null,477 Broadway,Seattle,WA,98101,King,+1 (776) 256-6782,"GEN,OBGYN",true,1,Recent quality improvements
PR0003,UC San Diego Health,Female,null,539 Broadway,San Francisco,CA,94101,San Francisco,+1 (886) 796-9970,GASTRO,true,3,Recent quality improvements
PR0004,Houston Methodist,NA,null,817 Main St,New York,NY,10001,New York,+1 (458) 144-5399,CARDIO,false,4,Limited data
PR0005,Carilion Roanoke Memorial,NA,null,231 Main St,Austin,TX,73301,Travis,+1 (431) 331-5492,"GASTRO,OBGYN",true,4,null
PR0006,Raymond E. Barbre,NA,1975-02-16,304 Broadway,Seattle,WA,98101,King,+1 (253) 978-8044,ENDO,false,3,null
PR0007,Baptist Health South Florida,NA,null,722 Oak St,Fort Worth,TX,76101,Tarrant,+1 (580) 109-1218,ONCO,true,4,null
PR0008,Sanford USD Medical Center,NA,null,638 Main St,San Antonio,TX,78201,Bexar,+1 (941) 440-1350,"NEPH,PSY",true,2,Recent quality improvements
PR0009,Greenwich Hospital,Female,null,875 Main St,San Jose,CA,95101,Santa Clara,+1 (554) 516-1905,CARDIO,false,4,null
PR0010,Saint Alphonsus Regional Medical Center,NA,null,390 Main St,Indianapolis,IN,46201,Marion,+1 (872) 830-5133,"RHEUM,ONCO",false,1,Limited data
PR0011,Vijay Bhagia,Female,1980-04-02,239 Maple Ave,Dallas,TX,75201,Dallas,+1 (377) 841-6426,PED,true,4,High patient satisfaction
PR0012,Sentara Norfolk General,NA,null,322 Maple Ave,Houston,TX,77001,Harris,+1 (944) 167-3154,GASTRO,true,2,Limited data
PR0013,Texas Health Presbyterian Hospital,NA,null,215 Oak St,Houston,TX,77001,Harris,+1 (936) 710-8959,ENDO,true,2,Limited data
PR0014,UnityPoint Health,Female,null,834 Maple Ave,Indianapolis,IN,46201,Marion,+1 (476) 964-9645,"HEM,ENT",false,2,Limited data
PR0015,Intermountain Medical Center,NA,null,704 Oak St,Denver,CO,80201,Denver,+1 (607) 617-2439,PULM,false,1,Recent quality improvements
PR0016,ChristianaCare,NA,null,808 Main St,Houston,TX,77001,Harris,+1 (815) 281-7800,GASTRO,false,4,null
PR0017,Cedars-Sinai Medical Center,Male,null,954 Maple Ave,Los Angeles,CA,90001,Los Angeles,+1 (439) 770-5813,ENDO,true,5,Recent quality improvements
PR0018,Stony Brook University Hospital,NA,null,690 Broadway,Phoenix,AZ,85001,Maricopa,+1 (707) 902-4241,"SURG,ENT",false,4,Recent quality improvements
PR0019,Montefiore Medical Center,NA,null,701 Maple Ave,San Antonio,TX,78201,Bexar,+1 (592) 181-1939,GASTRO,true,4,null
PR0020,Rush University Medical Center,Male,null,295 Broadway,Houston,TX,77001,Harris,+1 (212) 883-2425,URO,true,3,Recent quality improvements
PR0021,Children's National Hospital,NA,null,592 Oak St,Washington,DC,20001,District of Columbia,+1 (488) 626-6793,DERMA,false,1,Recent quality improvements
PR0022,UCHealth Poudre Valley,NA,null,319 Broadway,Phoenix,AZ,85001,Maricopa,+1 (421) 767-8922,SURG,true,2,Recent quality improvements
PR0023,James L. Caskey,NA,1970-01-10,225 Maple Ave,Chicago,IL,60601,Cook,+1 (793) 887-8289,"NEPH,PED",true,3,Limited data
PR0024,MUSC Health,NA,null,466 Main St,Houston,TX,77001,Harris,+1 (305) 745-5555,"DERMA,ONCO",true,2,Recent quality improvements
PR0025,UCSF Medical Center,NA,null,314 Main St,Columbus,OH,43085,Franklin,+1 (648) 352-3840,"URO,ALL",false,4,null
PR0026,Julio De La Fuente,NA,1985-03-15,148 Main St,Washington,DC,20001,District of Columbia,+1 (790) 880-3268,SURG,false,1,Recent quality improvements
PR0027,Henry Ford Hospital,NA,null,195 Oak St,New York,NY,10001,New York,+1 (475) 210-3733,NEURO,false,2,High patient satisfaction
PR0028,Beaumont Hospital,NA,null,424 Oak St,Philadelphia,PA,19101,Philadelphia,+1 (540) 586-1006,HEM,true,4,Recent quality improvements
PR0029,Larry J. Goates,NA,1965-10-07,968 Maple Ave,Indianapolis,IN,46201,Marion,+1 (524) 490-6269,"GASTRO,NEURO",true,2,null
PR0030,Henry Ford Hospital,Male,null,868 Oak St,Seattle,WA,98101,King,+1 (395) 867-6681,CARDIO,false,1,Limited data
PR0031,Ochsner Medical Center,NA,null,450 Oak St,San Francisco,CA,94101,San Francisco,+1 (885) 370-2159,"GEN,PULM",false,2,Limited data
PR0032,Northwestern Memorial Hospital,NA,null,326 Maple Ave,Philadelphia,PA,19101,Philadelphia,+1 (951) 968-9340,URO,false,5,High patient satisfaction
PR0033,UCHealth Poudre Valley,NA,null,757 Main St,Denver,CO,80201,Denver,+1 (242) 107-7654,"PULM,OBGYN",false,4,High patient satisfaction
PR0034,Dennis E. Halford,Female,1974-09-11,291 Main St,Seattle,WA,98101,King,+1 (824) 708-3605,DERMA,true,2,null
PR0035,Ochsner Medical Center,Female,null,175 Oak St,Austin,TX,73301,Travis,+1 (310) 718-1795,"PSY,SURG",false,2,High patient satisfaction
PR0036,MedStar Georgetown University Hospital,NA,null,972 Main St,Columbus,OH,43085,Franklin,+1 (672) 205-5879,"DERMA,ENT",true,3,Recent quality improvements
PR0037,Renown Regional Medical Center,NA,null,165 Maple Ave,Houston,TX,77001,Harris,+1 (228) 305-2425,ORTHO,false,5,null
PR0038,Anurag Patel,NA,1979-11-29,577 Main St,San Antonio,TX,78201,Bexar,+1 (246) 537-6444,"GEN,NEPH",true,5,Limited data
PR0039,Duke University Hospital,NA,null,434 Oak St,Jacksonville,FL,32099,Duval,+1 (882) 332-3240,"ENT,URO",true,4,null
PR0040,Intermountain Medical Center,Female,null,325 Broadway,Dallas,TX,75201,Dallas,+1 (879) 912-9272,"PULM,CARDIO",false,2,High patient satisfaction
PR0041,UNC Medical Center,NA,null,338 Oak St,San Antonio,TX,78201,Bexar,+1 (944) 571-3835,"PSY,ALL",false,4,High patient satisfaction
PR0042,Giancarlo E. Santos,Female,1973-06-17,359 Maple Ave,San Diego,CA,92101,San Diego,+1 (832) 394-7497,"PSY,ENT",true,4,null
PR0043,Irish Tongco,NA,1965-12-21,626 Broadway,Denver,CO,80201,Denver,+1 (370) 618-5222,"NEURO,SURG",true,4,Limited data
PR0044,Children's Hospital Colorado,NA,null,322 Oak St,Los Angeles,CA,90001,Los Angeles,+1 (239) 953-5720,RHEUM,true,4,High patient satisfaction
PR0045,Mark Z. Vrana,Male,1962-06-19,257 Main St,San Diego,CA,92101,San Diego,+1 (438) 192-4622,"RAD,URO",false,2,Recent quality improvements
