member_id,first_name,last_name,date_of_birth,gender,phone,email,street,city,state,postal_code,country,join_date,status,coverage_id
M0001,Sally,Torres,1966-11-10,Female,001-354-994-7355x12326,phillipssharon@example.com,7546 Smith Divide,Lake Erin,South Dakota,41075,USA,2022-08-09,Active,C0252
M0003,Marie,Williams,1978-02-23,Female,001-487-467-1990x97652,matthewscott@example.com,4852 Stephenson Squares,Ramosside,Kentucky,9371,USA,2023-08-09,Inactive,C0446
M0004,Alexander,Mahoney,2007-03-02,Male,751-708-2102,lynntran@example.net,823 Wilkinson Park Apt. 300,Lake Lisaton,Alaska,91535,USA,2025-10-25,Inactive,C0093
M0005,Emily,Lee,2003-08-26,Female,+1-766-475-0509x8816,fsanchez@example.com,3601 Patricia Spring Suite 076,North Brittany,Rhode Island,29126,USA,2021-09-06,Inactive,C0864
M0006,Amy,Phillips,1952-03-26,Female,964.288.7199,floresadrian@example.net,2716 Murphy Camp,Johnshire,South Carolina,6659,USA,2024-02-18,Inactive,C0618
M0010,Joy,Duke,1958-12-18,Female,740-864-0139x38946,blakeramos@example.com,4569 Marie Pike Apt. 906,Pettyhaven,Delaware,96714,USA,2022-12-15,Inactive,C0955
M0011,Tanya,Thomas,1953-05-30,Female,(753)816-2744x6701,nsmith@example.org,0992 Roman Crest Apt. 712,New Christopher,Rhode Island,39195,USA,2023-06-26,Active,C0912
M0013,Ann,Shaw,1963-11-12,Female,952.276.4151x1308,belinda44@example.com,3993 Sanders Ridge,Derrickborough,Minnesota,89855,USA,2022-12-12,Inactive,C0228
M0014,Melissa,Holden,1968-12-22,Female,001-683-201-0007x289,smalljeffrey@example.com,0827 Craig Hills Apt. 872,East Russell,Alabama,97642,USA,2023-05-06,Active,C0771
M0015,Gary,Arnold,1973-12-07,Male,6985396921,reneerivera@example.net,383 Samuel Avenue,Powellborough,California,11921,USA,2025-02-15,Active,C0489
M0016,Matthew,Patterson,1961-02-05,Male,516.215.2299x2878,udelgado@example.com,370 Wendy Mills Suite 890,Riceberg,Massachusetts,72902,USA,2023-01-22,Active,C0946
M0017,Jennifer,Church,1999-02-24,Female,954.343.9749,sandra44@example.net,129 Ashley Squares,North James,Maryland,61892,USA,2021-12-19,Inactive,C0458
M0019,Alicia,Bryan,1980-07-01,Female,(650)563-2378x4271,roberto66@example.com,7260 Woods Villages Apt. 188,Kingland,Oklahoma,76587,USA,2025-09-29,Active,C0105
